age,Average Time (seconds),Variation
47.0,142.79861111111111,Control
47.5,264.26666666666665,Control
48.0,137.99586776859505,Control
48.5,250.24621212121212,Control
49.0,160.0,Control
49.5,267.2135231316726,Control
50.0,138.62420382165604,Control
50.5,259.04659498207883,Control
51.0,158.19241982507288,Control
51.5,253.53846153846155,Control
52.0,150.77575757575758,Control
52.5,280.3462783171521,Control
53.0,148.60916442048517,Control
53.5,271.57454545454544,Control
54.0,162.98280802292263,Control
54.5,270.2015503875969,Control
55.0,165.141065830721,Control
55.5,246.92479108635098,Control
56.0,154.25147928994082,Control
56.5,255.9090909090909,Control
57.0,163.83967391304347,Control
57.5,257.44272445820434,Control
58.0,156.1,Control
58.5,256.0861111111111,Control
59.0,145.88888888888889,Control
59.5,237.5152354570637,Control
60.0,151.20728291316527,Control
60.5,257.6678082191781,Control
61.0,140.6889534883721,Control
61.5,247.83529411764707,Control
62.0,144.5721784776903,Control
62.5,240.30721003134795,Control
63.0,153.08709677419355,Control
63.5,262.8377483443709,Control
64.0,167.5284280936455,Control
64.5,251.09236947791166,Control
65.0,143.78321678321677,Control
65.5,251.55017301038063,Control
66.0,138.85172413793103,Control
66.5,258.7883211678832,Control
67.0,145.3924914675768,Control
67.5,233.51282051282053,Control
68.0,139.3181818181818,Control
68.5,250.63690476190476,Control
69.0,125.52838427947599,Control
69.5,254.2074074074074,Control
70.0,129.747311827957,Control
70.5,254.144,Control
71.0,118.87234042553192,Control
71.5,256.3688524590164,Control
72.0,136.22439024390243,Control
72.5,292.70642201834863,Control
73.0,109.95333333333333,Control
73.5,285.03846153846155,Control
74.0,128.576,Control
74.5,274.10869565217394,Control
75.0,146.29787234042553,Control
75.5,238.65573770491804,Control
76.0,107.18095238095238,Control
76.5,225.7719298245614,Control
77.0,114.56989247311827,Control
77.5,229.27586206896552,Control
78.0,128.60759493670886,Control
78.5,210.52631578947367,Control
79.0,125.76785714285714,Control
79.5,250.71428571428572,Control
80.0,212.26415094339623,Control
80.5,266.1875,Control
81.0,155.74,Control
81.5,300.5238095238095,Control
82.0,87.04761904761905,Control
82.5,223.76923076923077,Control
83.0,191.66666666666666,Control
83.5,249.85714285714286,Control
84.0,115.96153846153847,Control
84.5,396.6666666666667,Control
85.0,150.13793103448276,Control
85.5,633.0,Control
86.0,61.851851851851855,Control
86.5,204.2,Control
87.0,34.05555555555556,Control
87.5,100.0,Control
88.0,114.97142857142858,Control
88.5,203.66666666666666,Control
89.0,50.5,Control
90.0,11.5,Control
90.5,168.4,Control
91.0,237.8,Control
91.5,577.0,Control
92.0,110.28571428571429,Control
92.5,1.0,Control
93.0,45.0,Control
93.5,214.6,Control
94.0,164.5,Control
96.0,137.0,Control
