gender,Average Time (seconds),Variation
F,186.3289024609305,Test
M,190.44911050290798,Test
U,187.28001400070002,Test
X,177.0,Test
F,182.63444986000206,Control
M,186.08742316323543,Control
U,186.48904082043032,Control
